0.0,31.37,25.0
0.5,31.37,25.0
1.0,31.5,25.0
1.5,31.5,25.0
2.0,31.75,25.0
2.5,31.62,25.0
3.0,31.25,25.0
3.5,31.37,25.0
4.0,32.0,25.0
4.5,31.37,25.0
5.0,31.25,25.0
5.5,31.25,25.0
6.0,31.5,25.0
6.5,31.75,25.0
7.0,31.75,25.0
7.5,31.25,25.0
8.0,31.62,25.0
8.5,31.12,25.0
9.0,31.37,25.0
9.5,31.37,25.0
10.0,31.5,25.0
10.5,31.25,25.0
11.0,31.25,25.0
11.5,31.37,25.0
12.0,31.75,25.0
12.5,31.5,25.0
13.0,31.5,25.0
13.5,31.37,25.0
14.0,31.37,25.0
14.5,31.25,25.0
15.0,31.37,25.0
15.5,31.37,25.0
16.0,31.37,25.0
16.5,31.62,25.0
17.0,31.62,25.0
17.5,31.25,25.0
18.0,30.75,25.0
18.5,31.25,25.0
19.0,31.25,25.0
19.5,31.75,25.0
20.0,31.37,25.0
20.5,31.37,25.0
21.0,31.37,25.0
21.5,31.62,25.0
22.0,31.5,25.0
22.5,31.37,25.0
23.0,31.37,25.0
23.5,31.5,25.0
24.0,31.37,25.0
24.5,31.5,25.0
25.0,31.37,25.0
25.5,31.5,25.0
26.0,31.5,25.0
26.5,31.37,25.0
27.0,31.37,25.0
27.5,31.5,25.0
28.0,31.25,25.0
28.5,31.37,25.0
29.0,31.37,25.0
29.5,31.37,25.0
30.0,31.37,25.0
30.5,31.12,25.0
31.0,31.12,25.0
31.5,31.37,25.0
32.0,31.12,25.0
32.5,31.37,25.0
33.0,31.25,25.0
33.5,30.62,25.0
34.0,31.25,25.0
34.5,31.37,25.0
35.0,30.37,25.0
35.5,31.37,25.0
36.0,30.12,25.0
36.5,31.25,25.0
37.0,31.0,25.0
37.5,31.25,25.0
38.0,31.25,25.0
38.5,30.75,25.0
39.0,30.75,25.0
39.5,31.37,25.0
40.0,31.37,25.0
40.5,31.25,25.0
41.0,31.25,25.0
41.5,31.25,25.0
42.0,30.37,25.0
42.5,31.25,25.0
43.0,31.25,25.0
43.5,31.0,25.0
44.0,31.0,25.0
44.5,30.5,25.0
45.0,30.5,25.0
45.5,30.5,25.0
46.0,31.12,25.0
46.5,31.12,70.0
47.0,31.12,70.0
47.5,30.37,70.0
48.0,30.37,70.0
48.5,31.37,70.0
49.0,30.5,70.0
49.5,31.12,70.0
50.0,30.5,70.0
50.5,30.62,70.0
51.0,30.37,70.0
51.5,30.12,70.0
52.0,30.12,70.0
52.5,31.12,70.0
53.0,31.12,70.0
53.5,31.37,70.0
54.0,31.12,70.0
54.5,30.25,70.0
55.0,31.12,70.0
55.5,30.5,70.0
56.0,30.5,70.0
56.5,31.12,70.0
57.0,31.12,70.0
57.5,30.62,70.0
58.0,30.62,70.0
58.5,30.75,70.0
59.0,30.75,70.0
59.5,30.37,70.0
60.0,30.75,70.0
60.5,30.62,70.0
61.0,30.75,70.0
61.5,30.37,70.0
62.0,30.37,70.0
62.5,30.25,70.0
63.0,30.62,70.0
63.5,31.0,70.0
64.0,30.5,70.0
64.5,30.5,70.0
65.0,30.37,70.0
65.5,30.37,70.0
66.0,30.37,70.0
66.5,30.37,70.0
67.0,30.37,70.0
67.5,30.37,70.0
68.0,30.37,70.0
68.5,30.37,70.0
69.0,30.37,70.0
69.5,30.37,70.0
